line_key,line_name,location_direction,affected_area,location_from_km,location_to_km,restriction_occurrences,distinct_tsr_count,first_seen_notice_date,last_seen_notice_date
RTM,Mandurah Line,Unknown,RTMDN 2.0000km - 2.1000km,2.1,2.1,2,1,2024-07-07,2024-07-14
RTM,Mandurah Line,Unknown,RTMDN 2.000km - 2.110km,2.11,2.11,2,1,2025-02-23,2025-03-02
RTM,Mandurah Line,Unknown,RTMDN 21.105km - 21.240km,21.105,21.24,2,1,2025-02-09,2025-02-16
RTM,Mandurah Line,Unknown,RTMDN 9.7800km - 9.8800km,9.78,9.88,2,1,2024-07-07,2024-07-14
RTM,Mandurah Line,Unknown,Rd Directional Works Rockingham RTMUP 43.067km to 42.065km,42.065,43.067,2,1,2021-12-04,2021-12-25
RTMDN,Mandurah Line,Down,Mandurah Down Main Welshpool 8.400km to 8.200km,8.2,8.4,2,1,2021-08-28,2021-09-04
TTM,Thornlie Line,Unknown,0.660km Thornlie Line North 18.800 to 18.920km 0.660km Thornlie Line North 18.800 to 18.920km,0.66,18.8,2,1,2020-12-05,2020-12-12
TTM,Thornlie Line,Unknown,Thornlie Line,,,2,1,2019-11-02,2019-11-09
TTMDN,Thornlie Line,Down,Down Main Thornlie TTMBI 2.276 km to 2.565 km,2.276,2.565,2,1,2022-04-30,2022-05-14
UNCLASSIFIED,Unclassified,Unknown,25 Jun 21 Claisebrook 0.850km to 0.950km,0.85,0.95,2,1,2021-07-10,2021-07-17
UNCLASSIFIED,Unclassified,Unknown,Civil FTMUP 1.4500km - 1.9300km,1.45,1.93,2,1,2024-01-28,2024-02-04
UNCLASSIFIED,Unclassified,Unknown,Curve Wear & RCF FTMUP 14.880km - 15.278km,14.88,15.278,2,1,2024-07-28,2024-08-04
UNCLASSIFIED,Unclassified,Unknown,Damage FTMDN 6.950km - 7.170km,6.95,7.17,2,1,2024-07-28,2024-08-04
UNCLASSIFIED,Unclassified,Unknown,Damage FTMDP 6.9500km - 7.1700km,6.95,7.17,2,1,2024-04-28,2024-05-05
UNCLASSIFIED,Unclassified,Down,Down Main City 0.990km to 1.150km,0.99,1.15,2,1,2021-01-23,2021-01-30
UNCLASSIFIED,Unclassified,Down,Down Main Claisebrook 0.850km to 0.950km,0.85,0.95,2,1,2021-01-23,2021-01-30
UNCLASSIFIED,Unclassified,Unknown,Review Mundijong to 40.874km to,40.874,40.874,2,1,2020-12-05,2020-12-12
UNCLASSIFIED,Unclassified,Unknown,TBCTBD by FTMUP 0.1600km - 0.6700km,0.16,0.67,2,1,2024-01-28,2024-02-04
UNCLASSIFIED,Unclassified,Unknown,Ultrasonic Defect RRP Scope ATMUP 9.8800km - 10.1900km,9.88,10.19,2,1,2024-02-11,2024-02-18
UNCLASSIFIED,Unclassified,Unknown,issues,,,2,2,2020-08-08,2020-08-08
ATM,Armadale Line,Unknown,ATMBI 1.138km - 1.138km,1.138,1.138,1,1,2025-08-03,2025-08-03
ATM,Armadale Line,Unknown,ATMDN 03.275km - 03.417km,3.275,3.417,1,1,2025-08-31,2025-08-31
ATM,Armadale Line,Unknown,ATMDN 08-180km 08.280km,8.28,8.28,1,1,2025-11-09,2025-11-09
ATM,Armadale Line,Unknown,ATMDN 16.000km - 21.350km,21.35,21.35,1,1,2025-07-27,2025-07-27
ATM,Armadale Line,Unknown,ATMUP 19.294km - 19.507km,19.294,19.507,1,1,2025-06-29,2025-06-29
ATM,Armadale Line,Unknown,Beckenham M ain Armad ale,,,1,1,2020-11-21,2020-11-21
ATM,Armadale Line,Unknown,Main Armadale 29.597km to 41.430km,29.597,41.43,1,1,2021-07-24,2021-07-24
ATM,Armadale Line,Unknown,Railhead Armadale - ATMBI 29.411km to 29.710km,29.411,29.71,1,1,2021-11-06,2021-11-06
ATMBI,Armadale Line,Bidirectional,Mundijong Bi-Directional Railhead Armadale - ATMBI 40.747km to 40.874km,40.747,40.874,1,1,2021-11-06,2021-11-06
ATMBI,Armadale Line,Bidirectional,Rd Armadale Bi-di Line Cockburn 21.142km to 21.242km,21.142,21.242,1,1,2021-09-11,2021-09-11
ATMBI,Armadale Line,Bidirectional,Rd Armadale Bi-di Line Cockburn 21.270km to 21.170km,21.17,21.27,1,1,2021-07-24,2021-07-24
ATMBI,Armadale Line,Bidirectional,Rd Armadale Bi-di Line Works Cockburn 21.270km to 21.170km,21.17,21.27,1,1,2021-08-14,2021-08-14
ATMBI,Armadale Line,Bidirectional,Rd Bi-Directional Works Armadale ATMUP 29.350km to 29.411km,29.35,29.411,1,1,2021-11-06,2021-11-06
ATMDN,Armadale Line,Down,12.725km to 12.955km Down Beckenham Main Armadale Line & to 12.725km to 12.955km Down Beckenham Main Armadale Line & to,12.725,12.955,1,1,2020-08-08,2020-08-08
ATMDN,Armadale Line,Down,2020 Queens Park 9.450 to 9.550km Down Main,9.45,9.55,1,1,2020-08-08,2020-08-08
ATMUP,Armadale Line,Up,Armadale Line Up Main Defect Claisebrook 0.735km to 0.275km,0.275,0.735,1,1,2021-08-14,2021-08-14
ATMUP,Armadale Line,Up,Gosnells to 19.300 to 19.000km Up 6th November,19.3,19.3,1,1,2019-10-26,2019-10-26
ATMUP,Armadale Line,Up,Kelmscott to 25.975 to 26.140km Up 27th August,25.975,26.14,1,1,2019-10-26,2019-10-26
CP,City / Central Area,Unknown,CPUM 1.5000km TO 1.7000km,1.5,1.7,1,1,2023-10-15,2023-10-15
CTM,City / Central Area,Unknown,CTMDN 1.190km - 1.090km,1.09,1.19,1,1,2024-09-01,2024-09-01
CTM,City / Central Area,Unknown,CTMDN 1.872km - 1.172km,1.172,1.872,1,1,2025-08-03,2025-08-03
FTM,Fremantle Line,Unknown,09/04/2024 FTMUP 20.7650km - 20.8500km,20.765,20.85,1,1,2024-04-14,2024-04-14
FTM,Fremantle Line,Unknown,18/02/2024 FTMUP 19.4800km - 20.0200km,19.48,20.02,1,1,2024-02-25,2024-02-25
FTM,Fremantle Line,Unknown,24/04/2024 FTMUP 20.7650km - 20.8500km,20.765,20.85,1,1,2024-04-21,2024-04-21
FTM,Fremantle Line,Unknown,40.8740km FTMUP 9.5800km - 9.5800km 40.8740km FTMUP 9.5800km - 9.5800km,9.58,40.874,1,1,2024-06-09,2024-06-09
FTM,Fremantle Line,Unknown,8.00 Fremantle Line 0 to 8.539 U p 8.00 Fremantle Line 0 to 8.539 U p,8.539,8.539,1,1,2019-03-23,2019-03-23
FTM,Fremantle Line,Unknown,8.6 Fremantle Line 51 to 8.851 8.6 Fremantle Line 51 to 8.851,8.6,8.851,1,1,2019-03-23,2019-03-23
FTM,Fremantle Line,Unknown,FTMDM 225 / Claisebrook,,,1,1,2024-01-14,2024-01-14
FTM,Fremantle Line,Unknown,FTMDM 225 / McIver,,,1,1,2024-01-14,2024-01-14
FTM,Fremantle Line,Unknown,FTMDM 319 / Subiaco,,,1,1,2024-01-14,2024-01-14
FTM,Fremantle Line,Unknown,FTMDN 14.9350km - 15.0350km,14.935,15.035,1,1,2024-08-11,2024-08-11
FTM,Fremantle Line,Unknown,FTMDN 14.935km - 16.450km,14.935,16.45,1,1,2025-03-16,2025-03-16
FTM,Fremantle Line,Unknown,FTMDN 3.623km - 3.819km,3.623,3.819,1,1,2025-09-14,2025-09-14
FTM,Fremantle Line,Unknown,FTMDN 5.3000km - 5.2000,5.2,5.3,1,1,2024-06-09,2024-06-09
FTM,Fremantle Line,Unknown,FTMDN 6.9500km - 7.1700km N/A,6.95,7.17,1,1,2024-06-09,2024-06-09
FTM,Fremantle Line,Unknown,FTMDN 7.870km - 8-950km,7.87,7.87,1,1,2025-02-09,2025-02-09
FTM,Fremantle Line,Unknown,FTMDN 8.7620km - 8.8620km,8.762,8.862,1,1,2024-08-11,2024-08-11
FTM,Fremantle Line,Unknown,FTMDN F08-900km - F08-900km,,,1,1,2025-06-22,2025-06-22
FTM,Fremantle Line,Unknown,FTMUP 0.1600km - 0.6700,0.16,0.67,1,1,2024-06-09,2024-06-09
FTM,Fremantle Line,Unknown,FTMUP 0.1600km - 0.6700km N/A,0.16,0.67,1,1,2024-06-16,2024-06-16
FTM,Fremantle Line,Unknown,FTMUP 0.1600km - 08.000km,0.16,0.16,1,1,2025-10-12,2025-10-12
FTM,Fremantle Line,Unknown,FTMUP 15.7200km - 16.1750km,15.72,16.175,1,1,2024-07-07,2024-07-07
FTM,Fremantle Line,Unknown,FTMUP 19.440KM - 19.793km,19.44,19.793,1,1,2025-11-23,2025-11-23
FTM,Fremantle Line,Unknown,FTMUP 3.588km - 3.849km,3.588,3.849,1,1,2025-09-21,2025-09-21
FTM,Fremantle Line,Unknown,FTMUP 4.750km - 5.200km,4.75,5.2,1,1,2025-09-14,2025-09-14
FTM,Fremantle Line,Unknown,Fremantle - Pedestrian TBA Section,,,1,1,2019-10-26,2019-10-26
FTM,Fremantle Line,Unknown,Fremantle - Section,,,1,1,2020-08-08,2020-08-08
FTM,Fremantle Line,Unknown,Fremantle - September Pedestrian Crossing Section,,,1,1,2020-11-28,2020-11-28
FTM,Fremantle Line,Unknown,Fremantle Bridge,,,1,1,2020-04-18,2020-04-18
FTM,Fremantle Line,Unknown,Lawley Claisebrook 0.160km to 0.950km Fremantle,0.16,0.95,1,1,2021-10-09,2021-10-09
FTM,Fremantle Line,Unknown,Robbs Jetty Directional Review Bassendean MTMDN 7.900km to 8.150km,7.9,8.15,1,1,2022-04-09,2022-04-09
FTM,Fremantle Line,Unknown,Robbs Jetty Review Mundijong 40.874km to 40.747km,40.747,40.874,1,1,2021-07-24,2021-07-24
FTM,Fremantle Line,Unknown,Speed Fremantle - FTMBI 21.012km to 26.000km B-,21.012,21.012,1,1,2022-04-09,2022-04-09
FTM,Fremantle Line,Unknown,orth Fremantle 18 .920km D own,,,1,1,2020-11-21,2020-11-21
FTMDN,Fremantle Line,Down,11 October North Fremantle 18.800 to 18.920km Down Main,18.8,18.92,1,1,2020-08-08,2020-08-08
FTMDN,Fremantle Line,Down,18.800 to 18.920km Down North Fremantle 18.800 to 18.920km Down North Fremantle,18.8,18.92,1,1,2020-11-28,2020-11-28
FTMDN,Fremantle Line,Down,Armadale Down Main Karrakatta 9.580km Fremantle Up,9.58,9.58,1,1,2021-05-08,2021-05-08
FTMDN,Fremantle Line,Down,Fremantle Down Main Works Denny Ave 24.560km to 25.140km,24.56,25.14,1,1,2021-05-08,2021-05-08
FTMUP,Fremantle Line,Up,Fremantle Up Main Claisebrook 0.875km to 1.650km,0.875,1.65,1,1,2021-05-08,2021-05-08
FTMUP,Fremantle Line,Up,design issues Karrakatta 9.580km Fremantle Up Main,9.58,9.58,1,1,2021-10-09,2021-10-09
JTM,Joondalup Line,Unknown,Defect Whitfords 19.150 to 20.150km,19.15,20.15,1,1,2021-08-14,2021-08-14
JTM,Joondalup Line,Unknown,JTMDN 14.935km - 15.035km,14.935,15.035,1,1,2024-08-25,2024-08-25
JTM,Joondalup Line,Unknown,Joondalup - 2 2.942 to 2 3.184,2.942,3.184,1,1,2019-07-20,2019-07-20
JTM,Joondalup Line,Unknown,Joondalup 25 .960km D own,,,1,1,2020-11-21,2020-11-21
JTM,Joondalup Line,Unknown,Main issues Joondalup 25.848km to 25.960km,25.848,25.96,1,1,2021-08-14,2021-08-14
JTM,Joondalup Line,Unknown,Whitfords 20 .150km D own,,,1,1,2020-11-21,2020-11-21
JTMDN,Joondalup Line,Down,Down Main Joondalup 25.960km to 25.848km,25.848,25.96,1,1,2021-07-24,2021-07-24
JTMDN,Joondalup Line,Down,Lawley Down Main Rail Internal Defect Whitfords 19.150 to 20.150km,19.15,20.15,1,1,2021-07-24,2021-07-24
JTMDN,Joondalup Line,Down,Turnout defects Mid-August Whitfords 19.150 to 20.150km Down Main,19.15,20.15,1,1,2020-08-08,2020-08-08
JTMUP,Joondalup Line,Up,Lawley Up Main Whitfords JTMDN 19.150 to 20.150km,19.15,20.15,1,1,2021-11-06,2021-11-06
JTMUP,Joondalup Line,Up,Turnout defects Mid-August Whitfords 20.150km to 19.150km Up Main,19.15,20.15,1,1,2020-08-08,2020-08-08
JTMUP,Joondalup Line,Up,Up Main Joondalup 25.848km to 25.960km,25.848,25.96,1,1,2021-07-24,2021-07-24
JTMUP,Joondalup Line,Up,Whitfords 20.150km to 19.150km Up Main,19.15,20.15,1,1,2021-10-09,2021-10-09
MTM,Midland Line,Unknown,Bassendean 8 .150km Do wn,,,1,1,2020-11-21,2020-11-21
MTM,Midland Line,Unknown,Directional Guildford 10.250km to 10.350km,10.25,10.35,1,1,2021-07-24,2021-07-24
MTM,Midland Line,Unknown,MTMDN 0.400km - 1.300km,0.4,1.3,1,1,2024-09-01,2024-09-01
MTM,Midland Line,Unknown,MTMDN 11.120km - 11.370km,11.12,11.37,1,1,2025-06-15,2025-06-15
MTM,Midland Line,Unknown,MTMDN 13.2300km - 13.4000km N/A,13.23,13.4,1,1,2024-02-25,2024-02-25
MTM,Midland Line,Unknown,MTMDN 4.1400km - 5.4300km,4.14,5.43,1,1,2024-04-14,2024-04-14
MTM,Midland Line,Unknown,MTMDN 7.900km - 8.180km,7.9,8.18,1,1,2025-03-23,2025-03-23
MTM,Midland Line,Unknown,MTMUP 13.950km - 13.400km,13.4,13.95,1,1,2024-08-11,2024-08-11
MTM,Midland Line,Unknown,MTMUP 4.1740km - 4.4690km,4.174,4.469,1,1,2024-02-25,2024-02-25
MTM,Midland Line,Unknown,MTMUP 9.200km - 9-548km,9.2,9.2,1,1,2026-02-08,2026-02-08
MTMBI,Midland Line,Bidirectional,Mundijong Bi-Directional Guildford MTMDN 10.250km to 10.350km,10.25,10.35,1,1,2021-11-06,2021-11-06
MTMDN,Midland Line,Down,Down Main design issues Bassendean 8.200km to 8.100km Up,8.1,8.2,1,1,2021-08-14,2021-08-14
MTMDN,Midland Line,Down,Midland Down Main Rockingham 43.067km to 42.065km,42.065,43.067,1,1,2021-09-11,2021-09-11
MTMDN,Midland Line,Down,Midland Line Down Main Armadale 29.350km to 29.710km,29.35,29.71,1,1,2021-08-21,2021-08-21
MTMDN,Midland Line,Down,Turnout defects Bassendean 7.900km to 8.150km Down Main,7.9,8.15,1,1,2020-08-08,2020-08-08
MTMUP,Midland Line,Up,Armadale Line Up Main Geometry Defects Guildford 10.250km to 10.350km,10.25,10.35,1,1,2021-08-14,2021-08-14
RTM,Mandurah Line,Unknown,RTMDN 37.550km - 37.650km,37.55,37.65,1,1,2026-03-15,2026-03-15
RTM,Mandurah Line,Unknown,RTMDN 53.660km - 53.760km,53.66,53.76,1,1,2025-01-26,2025-01-26
RTM,Mandurah Line,Unknown,RTMUP 37.000 - 37.300km,37.3,37.3,1,1,2025-03-30,2025-03-30
RTM,Mandurah Line,Unknown,RTMUP 55.930km - 56.330km,55.93,56.33,1,1,2025-02-02,2025-02-02
RTMBI,Mandurah Line,Bidirectional,Thornlie Bi-directional Defect Cockburn 21.142km to 21.242km,21.142,21.242,1,1,2021-08-14,2021-08-14
RTMDN,Mandurah Line,Down,19.550km to 21.210km Down Cockburn 19.550km to 21.210km Down Cockburn,19.55,21.21,1,1,2020-08-08,2020-08-08
RTMDN,Mandurah Line,Down,36.070km to 36.405km Down Wellard 36.070km to 36.405km Down Wellard,36.07,36.405,1,1,2020-08-08,2020-08-08
RTMDN,Mandurah Line,Down,Down Main Defects Rockingham RTMUP 43.067km to 42.065km,42.065,43.067,1,1,2021-11-06,2021-11-06
RTMDN,Mandurah Line,Down,Kwinana to 34.900km to 35.600km Down,34.9,35.6,1,1,2020-08-08,2020-08-08
RTMDN,Mandurah Line,Down,Mandurah Down Main Rockingham 43.410km to 43.910km,43.41,43.91,1,1,2021-08-21,2021-08-21
RTMUP,Mandurah Line,Up,Mandurah Up Main Defect Welshpool 8.400km to 8.200km,8.2,8.4,1,1,2021-08-14,2021-08-14
RTMUP,Mandurah Line,Up,issues Rockingham 43.060km to 42.650km Up Main,42.65,43.06,1,1,2020-08-08,2020-08-08
TTM,Thornlie Line,Unknown,(Thornlie Line) to Thornlie Line,,,1,1,2019-10-26,2019-10-26
UNCLASSIFIED,Unclassified,Unknown,11 September South Perth 2.690km to 2.866km,2.69,2.866,1,1,2020-09-12,2020-09-12
UNCLASSIFIED,Unclassified,Unknown,ARMUP 16.8200km - 17.0000km N/A,16.82,16.82,1,1,2024-06-16,2024-06-16
UNCLASSIFIED,Unclassified,Unknown,ATUP 16.8200km - 17.000km,16.82,16.82,1,1,2024-06-09,2024-06-09
UNCLASSIFIED,Unclassified,Unknown,ATUP 19.2940km - 19.5070,19.294,19.507,1,1,2024-06-09,2024-06-09
UNCLASSIFIED,Unclassified,Unknown,Beyond Service 21.012km -,21.012,21.012,1,1,2023-11-12,2023-11-12
UNCLASSIFIED,Unclassified,Unknown,Damage FTMUP 6.8000km - 7.7900KM,6.8,7.79,1,1,2024-06-09,2024-06-09
UNCLASSIFIED,Unclassified,Down,Down Mains) East Perth 4.883km to,4.883,4.883,1,1,2018-09-01,2018-09-01
UNCLASSIFIED,Unclassified,Unknown,FREDN 19.039km - 19.750km,19.039,19.75,1,1,2025-08-24,2025-08-24
UNCLASSIFIED,Unclassified,Unknown,FXO3BI 11.630km - 11.680km,11.63,11.68,1,1,2026-03-22,2026-03-22
UNCLASSIFIED,Unclassified,Unknown,Gauge Corner 11 September South Perth 2.690km to 2.866km,2.69,2.866,1,1,2020-08-08,2020-08-08
UNCLASSIFIED,Unclassified,Unknown,Jetty Review 2011 East Perth 0.250km to,0.25,0.25,1,1,2018-09-01,2018-09-01
UNCLASSIFIED,Unclassified,Down,Lawley Mount 0.800 to 1.300km Down Main,0.8,1.3,1,1,2021-10-09,2021-10-09
UNCLASSIFIED,Unclassified,Unknown,Main Xing issues Abernethy 36.734km to 36.834km,36.734,36.834,1,1,2021-09-11,2021-09-11
UNCLASSIFIED,Unclassified,Down,Mount Lawley 0.900 to 1.300km Down Main,0.9,1.3,1,1,2020-08-08,2020-08-08
UNCLASSIFIED,Unclassified,Up,Mundijong to 40.747km Up,40.747,40.747,1,1,2020-11-21,2020-11-21
UNCLASSIFIED,Unclassified,Up,Mundijong to 40.874km to 40.747km Up 13 January,40.747,40.874,1,1,2020-11-28,2020-11-28
UNCLASSIFIED,Unclassified,Down,North 18.800 to 18.920km Down 26 February,18.8,18.92,1,1,2020-11-07,2020-11-07
UNCLASSIFIED,Unclassified,Unknown,Perth,,,1,1,2019-12-21,2019-12-21
UNCLASSIFIED,Unclassified,Bidirectional,Rd Bi-Directional Dalziel St ATMUP 16.820km to 17.000km,16.82,16.82,1,1,2022-04-09,2022-04-09
UNCLASSIFIED,Unclassified,Bidirectional,Rd Bi-Directional Works 2022 Dalziel St ATMUP 16.820km to 17.000km,16.82,16.82,1,1,2022-04-16,2022-04-16
UNCLASSIFIED,Unclassified,Unknown,Speed Imposed Restriction Cancelled MTMDN 7.900km - 8.150km,7.9,8.15,1,1,2025-03-30,2025-03-30
UNCLASSIFIED,Unclassified,Unknown,TBA FTMDP 6.9500km - 7.1700km,6.95,7.17,1,1,2024-04-21,2024-04-21
UNCLASSIFIED,Unclassified,Unknown,TBA FTMUP 6.9500km - 7.1700km,6.95,7.17,1,1,2024-04-14,2024-04-14
UNCLASSIFIED,Unclassified,Unknown,TBC FTMUP 14.8800km - 15.2780km,14.88,15.278,1,1,2024-02-25,2024-02-25
UNCLASSIFIED,Unclassified,Up,Up Main Mount 0.620 to 1.300km,0.62,1.3,1,1,2021-07-24,2021-07-24
UNCLASSIFIED,Unclassified,Up,Up Main Ped Xing issues Mount MTMDN 0.800 to 1.300km,0.8,1.3,1,1,2021-11-06,2021-11-06
UNCLASSIFIED,Unclassified,Up,Up Main design issues Claisebrook FTMUP 0.160km to 0.950km,0.16,0.95,1,1,2021-11-06,2021-11-06
UNCLASSIFIED,Unclassified,Down,Up Main issues Mount 0.620 to 1.300km Down,0.62,1.3,1,1,2021-08-14,2021-08-14
UNCLASSIFIED,Unclassified,Up,design issues Mount 0.717 to 1.625km Up Main,0.717,1.625,1,1,2021-10-09,2021-10-09
