tsr_master_id,line_key,line_name,location_direction,affected_area,latest_reason_raw,reason_group,first_seen_notice_date,last_seen_notice_date,weeks_seen,is_active,resolved_date,duration_bucket
4445,RTM,Mandurah Line,Unknown,RTMUP 37.000 - 37.300km,25-Mar-25 Track Defect,Track condition,2025-03-30,2025-03-30,1,0,2025-03-30,1 week
4701,MTM,Midland Line,Unknown,MTMDN 11.120km - 11.370km,10-Jun-25 New Rail,New rail / weld,2025-06-15,2025-06-15,1,0,2025-06-15,1 week
4740,FTM,Fremantle Line,Unknown,FTMDN F08-900km - F08-900km,17-Jun-25 Track Defect,Track condition,2025-06-22,2025-06-22,1,0,2025-06-22,1 week
4763,ATM,Armadale Line,Unknown,ATMUP 19.294km - 19.507km,22-Apr-22 Track Geometry,Track geometry,2025-06-29,2025-06-29,1,0,2025-06-29,1 week
4859,ATM,Armadale Line,Unknown,ATMDN 16.000km - 21.350km,17-Jul-25 New Rail,New rail / weld,2025-07-27,2025-07-27,1,0,2025-07-27,1 week
4882,ATM,Armadale Line,Unknown,ATMBI 1.138km - 1.138km,01-Aug-25 Wing Rail,Turnout / points,2025-08-03,2025-08-03,1,0,2025-08-03,1 week
4883,CTM,City / Central Area,Unknown,CTMDN 1.872km - 1.172km,28-Jul-25 Turnout,Turnout / points,2025-08-03,2025-08-03,1,0,2025-08-03,1 week
4949,UNCLASSIFIED,Unclassified,Unknown,FREDN 19.039km - 19.750km,12-Aug-25 Rail Surface Defect,Rail surface defect,2025-08-24,2025-08-24,1,0,2025-08-24,1 week
4974,ATM,Armadale Line,Unknown,ATMDN 03.275km - 03.417km,26-Aug-25 New Rail,New rail / weld,2025-08-31,2025-08-31,1,0,2025-08-31,1 week
5005,MTM,Midland Line,Unknown,MTMUP 9.548km - 9.360km,5-Sep-25 Rail Surface Defect,Rail surface defect,2025-09-14,2025-09-14,1,0,2025-09-14,1 week
5019,FTM,Fremantle Line,Unknown,FTMDN 3.623km - 3.819km,5-Sep-25 Ballast Formation,Ballast / formation,2025-09-14,2025-09-14,1,0,2025-09-14,1 week
5020,FTM,Fremantle Line,Unknown,FTMUP 4.750km - 5.200km,9-Sep-25 New Rail,New rail / weld,2025-09-14,2025-09-14,1,0,2025-09-14,1 week
5031,MTM,Midland Line,Unknown,MTMUP 9.548km - 9.360km,15-Sep-25 Rail Surface Defect,Rail surface defect,2025-09-21,2025-09-21,1,0,2025-09-21,1 week
5040,FTM,Fremantle Line,Unknown,FTMUP 3.588km - 3.849km,12-Sep-25 Ballast Formation,Ballast / formation,2025-09-21,2025-09-21,1,0,2025-09-21,1 week
5102,MTM,Midland Line,Unknown,MTMDN 2.2840km - 2.933km,04-Oct-25 Bog Hole,Other / review required,2025-10-12,2025-10-12,1,0,2025-10-12,1 week
5116,FTM,Fremantle Line,Unknown,FTMUP 0.1600km - 08.000km,27-Jun-25 Rail Surface Defect,Rail surface defect,2025-10-12,2025-10-12,1,0,2025-10-12,1 week
5215,ATM,Armadale Line,Unknown,ATMDN 08-180km 08.280km,07-Nov-25 Track Condition,Track condition,2025-11-09,2025-11-09,1,0,2025-11-09,1 week
