source_pdf_id,notice_date,filename,url,status,tsr_table_count,tsr_row_count,rejected_row_count,artifact_row_count,extraction_strategy,last_error
47,2019-08-31,Weekly Notice No. 35 Week Ending- 31st August 2019__446ae8e243.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 35 Week Ending- 31st August 2019.pdf?ver=uNk8nUdcCp6P6MT-f5T8-w%3d%3d,processed,2,6,0,0,table_lines:1;text_line:1,
48,2019-09-07,Weekly Notice No. 36 Week Ending- 7th September 2019__d65b65db9e.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 36 Week Ending- 7th September 2019.pdf?ver=Q6bWuYM-c2BlEjeS6KQwDg%3d%3d,processed,2,6,0,0,table_lines:1;text_line:1,
49,2019-09-14,Weekly Notice No. 37 Week Ending- 14th September 2019__fd8512ee4b.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 37 Week Ending- 14th September 2019.pdf?ver=9f_6SKgOBlGYqfzL00DdcQ%3d%3d,processed,2,6,0,0,table_lines:1;text_line:1,
50,2019-09-21,Weekly Notice No. 38 Week Ending- 21st September 2019__65d9e11c3c.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 38 Week Ending- 21st September 2019.pdf?ver=yN5Op7rKVcpiMCbTc4sV5Q%3d%3d,processed,2,7,0,0,table_lines:1;text_line:1,
51,2019-09-28,Weekly Notice No. 39 Week Ending- 28th September 2019__df75527a4b.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 39 Week Ending- 28th September 2019.pdf?ver=rE82ajYvXHrqLTMDlUaxDw%3d%3d,processed,2,7,0,0,table_lines:1;text_line:1,
52,2019-10-05,Weekly Notice No. 40 Week Ending- 5th October 2019__45f77b8ed5.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 40 Week Ending- 5th October 2019.pdf?ver=gidBX7A7qk8tWLnkxdlgyw%3d%3d,processed,2,7,0,0,table_lines:1;text_line:1,
53,2019-10-12,Weekly Notice No. 41 Week Ending- 12th October 2019__a21514d18a.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 41 Week Ending- 12th October 2019.pdf?ver=vHeodUZszwGdbKu3DRoBvw%3d%3d,processed,1,0,0,0,table_lines:1,
54,2019-10-19,Weekly Notice No. 42 Week Ending- 19th October 2019__27e304487a.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 42 Week Ending- 19th October 2019.pdf?ver=AuBLGAb0aJfGoiX6GlppWQ%3d%3d,processed,0,0,0,0,,
55,2019-10-26,Weekly Notice No. 43 Week Ending- 26th October 2019__9e5f4774eb.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 43 Week Ending- 26th October 2019.pdf?ver=1OECoDzIczz5RZZCt63ROA%3d%3d,processed,1,4,0,0,text_line:1,
56,2019-11-02,Weekly Notice No. 44 Week Ending- 2nd November 2019__fc0f5a7808.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 44 Week Ending- 2nd November 2019.pdf?ver=WzGzDpZJv331HHYAtAw0cw%3d%3d,processed,1,5,0,0,table_lines:1,
57,2019-11-09,Weekly Notice No. 45 Week Ending- 9th November 2019__5d44e44d45.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 45 Week Ending- 9th November 2019.pdf?ver=nTw5z0N-AnSBWaSJnbGlqQ%3d%3d,processed,2,5,0,0,table_lines:2,
58,2019-11-16,Weekly Notice No. 46 Week Ending- 16th November 2019__512ae3abb3.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 46 Week Ending- 16th November 2019.pdf?ver=TmI-MHFXD3UwEwW3TvceRQ%3d%3d,processed,2,5,0,0,table_lines:2,
59,2019-11-23,Weekly Notice No. 47 Week Ending- 23rd November 2019__76780d908b.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 47 Week Ending- 23rd November 2019.pdf?ver=g7rTpNA_9NHDyA0UqVLFZQ%3d%3d,processed,2,5,0,0,table_lines:2,
60,2019-11-30,Weekly Notice No. 48 Week Ending- 30th November 2019__bb6b89bb1c.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 48 Week Ending- 30th November 2019.pdf?ver=E0oxv4Pp18KSgAWxOxroRA%3d%3d,processed,2,5,0,0,table_lines:2,
61,2019-12-07,Weekly Notice No. 49 Week Ending-7th December 2019__35c9fce267.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 49 Week Ending-7th December 2019.pdf?ver=EXBJK6-rxHnq1_Y9SDvO7w%3d%3d,processed,2,6,0,0,table_lines:2,
62,2019-12-14,Weekly Notice No. 50 Week Ending- 14th December 2019__aab0f85d62.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 50 Week Ending- 14th December 2019.pdf?ver=opujBTWR2nmkpnFhpWxyOg%3d%3d,processed,2,6,0,0,table_lines:2,
